region_bld,clim,arch,eneff,urt,region_nuts,value
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ010,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ010,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ020,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ020,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ031,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ031,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ032,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ032,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ041,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ041,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ042,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ042,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ051,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ051,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ052,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ052,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ053,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ053,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ063,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ063,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ064,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ064,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ071,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ071,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ072,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ072,4.21854422
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ080,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ080,4.21854422
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE111,5.09666422
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE111,5.98714488
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE112,5.09666422
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE112,5.98714488
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE113,5.09666422
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE113,5.98714488
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE114,5.09666422
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE114,5.98714488
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE115,5.09666422
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE115,5.98714488
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE116,5.09666422
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE116,5.98714488
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE117,5.09666422
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE117,5.98714488
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE118,5.09666422
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE118,5.98714488
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE119,5.09666422
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE119,5.98714488
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE11A,5.09666422
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE11A,5.98714488
