region_bld,region_nuts,urt,clim,year,value
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2060,0.03739134585315928
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2060,0.1401706541468407
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2065,0.03369548628941472
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2065,0.1368205137105853
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2070,0.030460247504986316
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2070,0.1336637524950137
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2075,0.027644663104194275
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2075,0.13081833689580571
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2080,0.02518449330021161
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2080,0.1282715066997884
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2085,0.023012009501910895
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2085,0.12591899049808913
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2090,0.021083992242716357
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2090,0.12374200775728367
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2095,0.019371807756671428
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2095,0.12174319224332857
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2100,0.01786838214531649
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2100,0.1200816178546835
C-WEU-PRT,C-WEU-PRT-PT1D3,rur,Zone_3A Warm Humid,2020,0.08526731740773145
C-WEU-PRT,C-WEU-PRT-PT1D3,urb,Zone_3A Warm Humid,2020,0.15118368259226853
C-WEU-PRT,C-WEU-PRT-PT1D3,rur,Zone_3A Warm Humid,2025,0.07716886477937118
