region_gea,arch,material,year,urt,value
NAM,sfh,copper,2040,sub,1.2533813415
NAM,sfh,copper,2045,rur,1.359534753
NAM,sfh,copper,2045,urb,1.14722793
NAM,sfh,copper,2045,sub,1.2533813415
NAM,sfh,copper,2050,rur,1.359534753
NAM,sfh,copper,2050,urb,1.14722793
NAM,sfh,copper,2050,sub,1.2533813415
NAM,sfh,copper,2055,rur,1.359534753
NAM,sfh,copper,2055,urb,1.14722793
NAM,sfh,copper,2055,sub,1.2533813415
NAM,sfh,copper,2060,rur,1.359534753
NAM,sfh,copper,2060,urb,1.14722793
NAM,sfh,copper,2060,sub,1.2533813415
NAM,sfh,copper,2065,rur,1.359534753
NAM,sfh,copper,2065,urb,1.14722793
NAM,sfh,copper,2065,sub,1.2533813415
NAM,sfh,copper,2070,rur,1.359534753
NAM,sfh,copper,2070,urb,1.14722793
NAM,sfh,copper,2070,sub,1.2533813415
NAM,sfh,copper,2075,rur,1.359534753
NAM,sfh,copper,2075,urb,1.14722793
NAM,sfh,copper,2075,sub,1.2533813415
NAM,sfh,copper,2080,rur,1.359534753
NAM,sfh,copper,2080,urb,1.14722793
NAM,sfh,copper,2080,sub,1.2533813415
NAM,sfh,copper,2085,rur,1.359534753
NAM,sfh,copper,2085,urb,1.14722793
NAM,sfh,copper,2085,sub,1.2533813415
NAM,sfh,copper,2090,rur,1.359534753
NAM,sfh,copper,2090,urb,1.14722793
NAM,sfh,copper,2090,sub,1.2533813415
NAM,sfh,copper,2095,rur,1.359534753
NAM,sfh,copper,2095,urb,1.14722793
NAM,sfh,copper,2095,sub,1.2533813415
NAM,sfh,copper,2100,rur,1.359534753
NAM,sfh,copper,2100,urb,1.14722793
NAM,sfh,copper,2100,sub,1.2533813415
NAM,sfh,glass,2015,rur,2.829220009
NAM,sfh,glass,2015,urb,2.588862253
NAM,sfh,glass,2015,sub,2.709041131
NAM,sfh,glass,2020,rur,2.829220009
NAM,sfh,glass,2020,urb,2.588862253
NAM,sfh,glass,2020,sub,2.709041131
NAM,sfh,glass,2025,rur,2.829220009
NAM,sfh,glass,2025,urb,2.588862253
NAM,sfh,glass,2025,sub,2.709041131
NAM,sfh,glass,2030,rur,2.829220009
NAM,sfh,glass,2030,urb,2.588862253
NAM,sfh,glass,2030,sub,2.709041131
NAM,sfh,glass,2035,rur,2.829220009
NAM,sfh,glass,2035,urb,2.588862253
NAM,sfh,glass,2035,sub,2.709041131
NAM,sfh,glass,2040,rur,2.829220009
NAM,sfh,glass,2040,urb,2.588862253
NAM,sfh,glass,2040,sub,2.709041131
NAM,sfh,glass,2045,rur,2.829220009
NAM,sfh,glass,2045,urb,2.588862253
NAM,sfh,glass,2045,sub,2.709041131
NAM,sfh,glass,2050,rur,2.829220009
NAM,sfh,glass,2050,urb,2.588862253
NAM,sfh,glass,2050,sub,2.709041131
NAM,sfh,glass,2055,rur,2.829220009
NAM,sfh,glass,2055,urb,2.588862253
NAM,sfh,glass,2055,sub,2.709041131
NAM,sfh,glass,2060,rur,2.829220009
NAM,sfh,glass,2060,urb,2.588862253
NAM,sfh,glass,2060,sub,2.709041131
NAM,sfh,glass,2065,rur,2.829220009
NAM,sfh,glass,2065,urb,2.588862253
NAM,sfh,glass,2065,sub,2.709041131
NAM,sfh,glass,2070,rur,2.829220009
NAM,sfh,glass,2070,urb,2.588862253
NAM,sfh,glass,2070,sub,2.709041131
NAM,sfh,glass,2075,rur,2.829220009
NAM,sfh,glass,2075,urb,2.588862253
NAM,sfh,glass,2075,sub,2.709041131
NAM,sfh,glass,2080,rur,2.829220009
NAM,sfh,glass,2080,urb,2.588862253
NAM,sfh,glass,2080,sub,2.709041131
NAM,sfh,glass,2085,rur,2.829220009
NAM,sfh,glass,2085,urb,2.588862253
NAM,sfh,glass,2085,sub,2.709041131
NAM,sfh,glass,2090,rur,2.829220009
NAM,sfh,glass,2090,urb,2.588862253
NAM,sfh,glass,2090,sub,2.709041131
NAM,sfh,glass,2095,rur,2.829220009
NAM,sfh,glass,2095,urb,2.588862253
NAM,sfh,glass,2095,sub,2.709041131
NAM,sfh,glass,2100,rur,2.829220009
NAM,sfh,glass,2100,urb,2.588862253
NAM,sfh,glass,2100,sub,2.709041131
NAM,sfh,steel,2015,rur,24.91663232
NAM,sfh,steel,2015,urb,24.93161149
NAM,sfh,steel,2015,sub,24.924121905
NAM,sfh,steel,2020,rur,24.91663232
NAM,sfh,steel,2020,urb,24.93161149
NAM,sfh,steel,2020,sub,24.924121905
NAM,sfh,steel,2025,rur,24.91663232
NAM,sfh,steel,2025,urb,24.93161149
NAM,sfh,steel,2025,sub,24.924121905
NAM,sfh,steel,2030,rur,24.91663232
NAM,sfh,steel,2030,urb,24.93161149
NAM,sfh,steel,2030,sub,24.924121905
NAM,sfh,steel,2035,rur,24.91663232
NAM,sfh,steel,2035,urb,24.93161149
NAM,sfh,steel,2035,sub,24.924121905
NAM,sfh,steel,2040,rur,24.91663232
NAM,sfh,steel,2040,urb,24.93161149
NAM,sfh,steel,2040,sub,24.924121905
NAM,sfh,steel,2045,rur,24.91663232
NAM,sfh,steel,2045,urb,24.93161149
NAM,sfh,steel,2045,sub,24.924121905
NAM,sfh,steel,2050,rur,24.91663232
NAM,sfh,steel,2050,urb,24.93161149
NAM,sfh,steel,2050,sub,24.924121905
NAM,sfh,steel,2055,rur,24.91663232
NAM,sfh,steel,2055,urb,24.93161149
NAM,sfh,steel,2055,sub,24.924121905
NAM,sfh,steel,2060,rur,24.91663232
NAM,sfh,steel,2060,urb,24.93161149
NAM,sfh,steel,2060,sub,24.924121905
NAM,sfh,steel,2065,rur,24.91663232
NAM,sfh,steel,2065,urb,24.93161149
