region_gea,year,region_bld,value
WEU,2060,C-WEU-SWE,5.0
WEU,2065,C-WEU-AUT,5.0
WEU,2065,C-WEU-BEL,5.0
WEU,2065,C-WEU-CYP,5.0
WEU,2065,C-WEU-DEU,5.0
WEU,2065,C-WEU-DNK,5.0
WEU,2065,C-WEU-ESP,5.0
WEU,2065,C-WEU-FIN,5.0
WEU,2065,C-WEU-FRA,5.0
WEU,2065,C-WEU-GRC,5.0
WEU,2065,C-WEU-IRL,5.0
WEU,2065,C-WEU-ITA,5.0
WEU,2065,C-WEU-LUX,5.0
WEU,2065,C-WEU-MLT,5.0
WEU,2065,C-WEU-NLD,5.0
WEU,2065,C-WEU-PRT,5.0
WEU,2065,C-WEU-SWE,5.0
WEU,2070,C-WEU-AUT,5.0
WEU,2070,C-WEU-BEL,5.0
WEU,2070,C-WEU-CYP,5.0
WEU,2070,C-WEU-DEU,5.0
WEU,2070,C-WEU-DNK,5.0
WEU,2070,C-WEU-ESP,5.0
WEU,2070,C-WEU-FIN,5.0
WEU,2070,C-WEU-FRA,5.0
WEU,2070,C-WEU-GRC,5.0
WEU,2070,C-WEU-IRL,5.0
WEU,2070,C-WEU-ITA,5.0
WEU,2070,C-WEU-LUX,5.0
WEU,2070,C-WEU-MLT,5.0
WEU,2070,C-WEU-NLD,5.0
WEU,2070,C-WEU-PRT,5.0
WEU,2070,C-WEU-SWE,5.0
WEU,2075,C-WEU-AUT,5.0
WEU,2075,C-WEU-BEL,5.0
WEU,2075,C-WEU-CYP,5.0
WEU,2075,C-WEU-DEU,5.0
WEU,2075,C-WEU-DNK,5.0
WEU,2075,C-WEU-ESP,5.0
WEU,2075,C-WEU-FIN,5.0
WEU,2075,C-WEU-FRA,5.0
WEU,2075,C-WEU-GRC,5.0
WEU,2075,C-WEU-IRL,5.0
WEU,2075,C-WEU-ITA,5.0
WEU,2075,C-WEU-LUX,5.0
WEU,2075,C-WEU-MLT,5.0
WEU,2075,C-WEU-NLD,5.0
WEU,2075,C-WEU-PRT,5.0
WEU,2075,C-WEU-SWE,5.0
WEU,2080,C-WEU-AUT,5.0
WEU,2080,C-WEU-BEL,5.0
WEU,2080,C-WEU-CYP,5.0
WEU,2080,C-WEU-DEU,5.0
WEU,2080,C-WEU-DNK,5.0
WEU,2080,C-WEU-ESP,5.0
WEU,2080,C-WEU-FIN,5.0
WEU,2080,C-WEU-FRA,5.0
WEU,2080,C-WEU-GRC,5.0
WEU,2080,C-WEU-IRL,5.0
WEU,2080,C-WEU-ITA,5.0
WEU,2080,C-WEU-LUX,5.0
WEU,2080,C-WEU-MLT,5.0
WEU,2080,C-WEU-NLD,5.0
WEU,2080,C-WEU-PRT,5.0
WEU,2080,C-WEU-SWE,5.0
WEU,2085,C-WEU-AUT,5.0
WEU,2085,C-WEU-BEL,5.0
WEU,2085,C-WEU-CYP,5.0
WEU,2085,C-WEU-DEU,5.0
WEU,2085,C-WEU-DNK,5.0
WEU,2085,C-WEU-ESP,5.0
WEU,2085,C-WEU-FIN,5.0
WEU,2085,C-WEU-FRA,5.0
WEU,2085,C-WEU-GRC,5.0
WEU,2085,C-WEU-IRL,5.0
WEU,2085,C-WEU-ITA,5.0
WEU,2085,C-WEU-LUX,5.0
WEU,2085,C-WEU-MLT,5.0
WEU,2085,C-WEU-NLD,5.0
WEU,2085,C-WEU-PRT,5.0
WEU,2085,C-WEU-SWE,5.0
WEU,2090,C-WEU-AUT,5.0
WEU,2090,C-WEU-BEL,5.0
WEU,2090,C-WEU-CYP,5.0
WEU,2090,C-WEU-DEU,5.0
WEU,2090,C-WEU-DNK,5.0
WEU,2090,C-WEU-ESP,5.0
WEU,2090,C-WEU-FIN,5.0
WEU,2090,C-WEU-FRA,5.0
WEU,2090,C-WEU-GRC,5.0
WEU,2090,C-WEU-IRL,5.0
WEU,2090,C-WEU-ITA,5.0
WEU,2090,C-WEU-LUX,5.0
WEU,2090,C-WEU-MLT,5.0
WEU,2090,C-WEU-NLD,5.0
WEU,2090,C-WEU-PRT,5.0
WEU,2090,C-WEU-SWE,5.0
WEU,2095,C-WEU-AUT,5.0
WEU,2095,C-WEU-BEL,5.0
WEU,2095,C-WEU-CYP,5.0
WEU,2095,C-WEU-DEU,5.0
WEU,2095,C-WEU-DNK,5.0
WEU,2095,C-WEU-ESP,5.0
WEU,2095,C-WEU-FIN,5.0
WEU,2095,C-WEU-FRA,5.0
WEU,2095,C-WEU-GRC,5.0
WEU,2095,C-WEU-IRL,5.0
WEU,2095,C-WEU-ITA,5.0
WEU,2095,C-WEU-LUX,5.0
WEU,2095,C-WEU-MLT,5.0
WEU,2095,C-WEU-NLD,5.0
WEU,2095,C-WEU-PRT,5.0
