,region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
193,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2010,p3,0.0568961190153261
194,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2015,p3,0.0337497948918271
195,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2020,p3,0.0405878079151583
196,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,1945,p1,0.1904401954887979
197,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,1960,p2,0.0878260698708482
198,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,1965,p2,0.0437785458032965
199,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,1970,p2,0.0595638491221302
200,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,1975,p2,0.1066096288850641
201,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,1980,p2,0.1192177289823588
202,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,1985,p2,0.0633463857276624
203,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,1990,p2,0.0567301720055453
204,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,1995,p3,0.0545432533852667
205,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,2000,p3,0.0440509374817104
206,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,2005,p3,0.0337813012552015
207,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,2010,p3,0.0672712981035796
208,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,2015,p3,0.0333783919390217
209,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,mfh,2020,p3,0.0394622419495153
210,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,1945,p1,0.1904401954887979
211,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,1960,p2,0.0878260698708482
212,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,1965,p2,0.0437785458032965
213,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,1970,p2,0.0595638491221302
214,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,1975,p2,0.1066096288850641
215,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,1980,p2,0.1192177289823588
216,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,1985,p2,0.0633463857276624
217,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,1990,p2,0.0567301720055453
218,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,1995,p3,0.0545432533852667
219,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,2000,p3,0.0440509374817104
220,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,2005,p3,0.0337813012552015
221,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,2010,p3,0.0672712981035796
222,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,2015,p3,0.0333783919390217
