clim,region_gea,year,value,region_bld,region_nuts
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE147
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE148
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE149
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE211
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE212
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE213
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE214
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE215
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE216
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE217
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE218
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE219
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21A
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21B
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21C
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21D
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21E
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21F
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21G
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21H
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21I
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21J
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21K
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21L
Zone_6A Cold Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21M
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE21N
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE221
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE222
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE223
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE224
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE225
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE226
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE227
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE228
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE229
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE22A
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE22B
