region_bld,clim,urt,inc_cl,mat,year,region_nuts,value
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE253,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE253,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE254,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE254,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE255,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE255,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE256,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE256,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE257,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE257,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE258,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE258,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE310,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE310,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE323,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE323,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE328,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE328,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE329,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE329,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE32A,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE32A,0.0
C-WEU-BEL,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-BEL-BE32B,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-BEL-BE32B,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE32C,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE32C,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE32D,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE32D,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE331,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE331,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE332,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE332,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q1,sub,2015,C-WEU-BEL-BE334,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q1,sub,2015,C-WEU-BEL-BE334,0.0
C-WEU-BEL,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-BEL-BE335,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-BEL-BE335,0.0
C-WEU-BEL,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-BEL-BE336,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-BEL-BE336,0.0
