,year,region_bld,clim,arch,urt,value,region_gea
482,2020,C-WEU-NLD,Zone_4A Mixed Humid,mfh,rur,1100.0,WEU
483,2020,C-WEU-NLD,Zone_4A Mixed Humid,mfh,urb,147468.0,WEU
484,2020,C-WEU-NLD,Zone_4A Mixed Humid,sfh,rur,4647.0,WEU
485,2020,C-WEU-NLD,Zone_4A Mixed Humid,sfh,urb,97505.0,WEU
486,2020,C-WEU-NLD,Zone_5A Cool Humid,mfh,urb,29505.0,WEU
487,2020,C-WEU-NLD,Zone_5A Cool Humid,sfh,urb,42356.0,WEU
488,2020,C-WEU-PRT,Zone_3A Warm Humid,mfh,rur,142019.0,WEU
489,2020,C-WEU-PRT,Zone_3A Warm Humid,mfh,urb,340950.0,WEU
490,2020,C-WEU-PRT,Zone_3A Warm Humid,sfh,rur,478394.0,WEU
491,2020,C-WEU-PRT,Zone_3A Warm Humid,sfh,urb,162610.0,WEU
492,2020,C-WEU-PRT,Zone_3C Warm Marine,mfh,rur,26393.0,WEU
493,2020,C-WEU-PRT,Zone_3C Warm Marine,mfh,urb,133047.0,WEU
494,2020,C-WEU-PRT,Zone_3C Warm Marine,sfh,rur,109203.0,WEU
495,2020,C-WEU-PRT,Zone_3C Warm Marine,sfh,urb,195635.0,WEU
496,2020,C-WEU-PRT,Zone_4A Mixed Humid,mfh,rur,7997.0,WEU
497,2020,C-WEU-PRT,Zone_4A Mixed Humid,sfh,rur,33686.0,WEU
498,2020,C-WEU-PRT,Zone_4C Mixed Marine,mfh,rur,13089.0,WEU
499,2020,C-WEU-PRT,Zone_4C Mixed Marine,mfh,urb,31937.0,WEU
500,2020,C-WEU-PRT,Zone_4C Mixed Marine,sfh,rur,89680.0,WEU
501,2020,C-WEU-PRT,Zone_4C Mixed Marine,sfh,urb,63456.0,WEU
502,2020,C-WEU-SWE,Zone_5A Cool Humid,mfh,rur,1643.0,WEU
503,2020,C-WEU-SWE,Zone_5A Cool Humid,mfh,urb,38819.0,WEU
504,2020,C-WEU-SWE,Zone_5A Cool Humid,sfh,rur,13710.0,WEU
505,2020,C-WEU-SWE,Zone_5A Cool Humid,sfh,urb,89243.0,WEU
506,2020,C-WEU-SWE,Zone_6A Cold Humid,mfh,rur,6999.0,WEU
507,2020,C-WEU-SWE,Zone_6A Cold Humid,mfh,urb,166549.0,WEU
508,2020,C-WEU-SWE,Zone_6A Cold Humid,sfh,rur,36358.0,WEU
509,2020,C-WEU-SWE,Zone_6A Cold Humid,sfh,urb,340862.0,WEU
510,2020,C-WEU-SWE,Zone_7A Very cold Humid,mfh,rur,14020.0,WEU
511,2020,C-WEU-SWE,Zone_7A Very cold Humid,mfh,urb,24467.0,WEU
512,2020,C-WEU-SWE,Zone_7A Very cold Humid,sfh,rur,100328.0,WEU
513,2020,C-WEU-SWE,Zone_7A Very cold Humid,sfh,urb,106596.0,WEU
514,2020,C-WEU-SWE,Zone_8A Subarctic/arctic Humid,mfh,urb,9735.0,WEU
515,2020,C-WEU-SWE,Zone_8A Subarctic/arctic Humid,sfh,urb,33301.0,WEU
