region_bld,clim,inc_cl,year,urt,value
C-WEU-DEU,Zone_6A Cold Humid,q2,2050,sub,0.22484075000000003
C-WEU-DEU,Zone_6A Cold Humid,q2,2050,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2055,rur,0.2248213
C-WEU-DEU,Zone_6A Cold Humid,q2,2055,sub,0.22520345
C-WEU-DEU,Zone_6A Cold Humid,q2,2055,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2060,rur,0.2251982
C-WEU-DEU,Zone_6A Cold Humid,q2,2060,sub,0.22539205
C-WEU-DEU,Zone_6A Cold Humid,q2,2060,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2065,rur,0.2253989
C-WEU-DEU,Zone_6A Cold Humid,q2,2065,sub,0.22549245
C-WEU-DEU,Zone_6A Cold Humid,q2,2065,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2070,rur,0.22550770000000003
C-WEU-DEU,Zone_6A Cold Humid,q2,2070,sub,0.22554685
C-WEU-DEU,Zone_6A Cold Humid,q2,2070,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2075,rur,0.2255442
C-WEU-DEU,Zone_6A Cold Humid,q2,2075,sub,0.2255651
C-WEU-DEU,Zone_6A Cold Humid,q2,2075,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2080,rur,0.22556650000000003
C-WEU-DEU,Zone_6A Cold Humid,q2,2080,sub,0.22557625
C-WEU-DEU,Zone_6A Cold Humid,q2,2080,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2085,rur,0.22557790000000003
C-WEU-DEU,Zone_6A Cold Humid,q2,2085,sub,0.22558195
C-WEU-DEU,Zone_6A Cold Humid,q2,2085,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2090,rur,0.22558249999999996
C-WEU-DEU,Zone_6A Cold Humid,q2,2090,sub,0.22558425
C-WEU-DEU,Zone_6A Cold Humid,q2,2090,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2095,rur,0.2255847
C-WEU-DEU,Zone_6A Cold Humid,q2,2095,sub,0.22558534999999996
C-WEU-DEU,Zone_6A Cold Humid,q2,2095,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2100,rur,0.2255856
C-WEU-DEU,Zone_6A Cold Humid,q2,2100,sub,0.2255858
C-WEU-DEU,Zone_6A Cold Humid,q2,2100,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2015,rur,0.22525529999999996
C-WEU-DEU,Zone_6A Cold Humid,q3,2015,sub,0.22542060000000003
C-WEU-DEU,Zone_6A Cold Humid,q3,2015,urb,0.0
