region_bld,region_nuts,urt,clim,value
C-EEU-HRV,C-EEU-HRV-HR022,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR023,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR023,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR024,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR024,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR025,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR025,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR026,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR026,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR027,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR027,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR028,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR028,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR031,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR031,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR032,rur,Zone_5A Cool Humid,1
C-EEU-HRV,C-EEU-HRV-HR032,urb,Zone_5A Cool Humid,1
C-EEU-HRV,C-EEU-HRV-HR033,rur,Zone_4C Mixed Marine,1
C-EEU-HRV,C-EEU-HRV-HR033,urb,Zone_4C Mixed Marine,1
C-EEU-HRV,C-EEU-HRV-HR034,rur,Zone_3A Warm Humid,1
C-EEU-HRV,C-EEU-HRV-HR034,urb,Zone_3A Warm Humid,1
C-EEU-HRV,C-EEU-HRV-HR035,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR035,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR036,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR036,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR037,rur,Zone_3A Warm Humid,1
C-EEU-HRV,C-EEU-HRV-HR037,urb,Zone_3A Warm Humid,1
C-EEU-HRV,C-EEU-HRV-HR050,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR050,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR061,rur,Zone_4A Mixed Humid,1
