index,region_bld,urt,arch,mat,year,value
355,C-EEU-HRV,sub,sfh,perm,2030,38.75067203882732
356,C-EEU-HRV,sub,sfh,perm,2025,36.2771777056265
357,C-EEU-HRV,sub,sfh,perm,2060,51.03686531336703
358,C-EEU-HRV,sub,mfh,perm,2020,21.08380261599928
359,C-EEU-HRV,rur,sfh,perm,2060,50.975161007687845
360,C-EEU-HRV,rur,sfh,perm,2090,57.925542588491545
361,C-EEU-HRV,rur,mfh,perm,2070,33.643222057763104
362,C-EEU-HRV,rur,mfh,perm,2065,32.79422102410489
363,C-EEU-HRV,rur,mfh,perm,2060,31.849403395657262
364,C-EEU-HRV,rur,mfh,perm,2055,30.805621375471706
365,C-EEU-HRV,rur,mfh,perm,2050,29.662142952271502
366,C-EEU-HRV,rur,mfh,perm,2045,28.420992554207075
367,C-EEU-HRV,rur,mfh,perm,2075,34.401240070697085
368,C-EEU-HRV,rur,mfh,perm,2040,27.08745382751735
369,C-EEU-HRV,rur,mfh,perm,2030,24.18210367927277
370,C-EEU-HRV,rur,mfh,perm,2025,22.638517256136083
371,C-EEU-HRV,rur,mfh,perm,2020,21.05831199478833
372,C-EEU-HRV,rur,mfh,perm,2015,19.462498219578702
373,C-EEU-HRV,rur,sfh,perm,2100,59.30261962570516
374,C-EEU-HRV,rur,sfh,perm,2095,58.66005817969473
375,C-EEU-HRV,rur,mfh,perm,2035,25.67034328546773
376,C-EEU-HRV,rur,mfh,perm,2080,35.07422348777259
377,C-EEU-HRV,rur,mfh,perm,2085,35.66883988729204
378,C-EEU-HRV,rur,mfh,perm,2090,36.1920855143814
379,C-EEU-HRV,rur,sfh,perm,2085,57.088086538849595
380,C-EEU-HRV,rur,sfh,perm,2080,56.136407504271745
381,C-EEU-HRV,rur,sfh,perm,2075,55.059308204844505
382,C-EEU-HRV,rur,sfh,perm,2070,53.84611717779615
383,C-EEU-HRV,rur,sfh,perm,2065,52.48731370037126
384,C-EEU-HRV,rur,sfh,perm,2055,49.30461989604811
385,C-EEU-HRV,rur,sfh,perm,2050,47.474516924457134
386,C-EEU-HRV,rur,sfh,perm,2045,45.488089805463126
387,C-EEU-HRV,rur,sfh,perm,2040,43.35379230557363
388,C-EEU-HRV,rur,sfh,perm,2035,41.0857324438656
389,C-EEU-HRV,rur,sfh,perm,2030,38.70382191787893
390,C-EEU-HRV,rur,sfh,perm,2025,36.233318074973596
391,C-EEU-HRV,rur,sfh,perm,2020,33.70419383884161
392,C-EEU-HRV,rur,mfh,perm,2100,37.052477679335006
393,C-EEU-HRV,rur,mfh,perm,2095,36.65100993800697
394,C-EEU-HRV,sub,mfh,perm,2015,19.486057143487553
395,C-EEU-HRV,rur,sfh,perm,2015,31.15007674123186
396,C-EEU-HRV,urb,mfh,perm,2015,17.057790299641713
397,C-EEU-HRV,urb,sfh,perm,2075,48.25640176330406
398,C-EEU-HRV,urb,sfh,perm,2025,31.756475176520077
399,C-EEU-HRV,urb,sfh,perm,2030,33.9217335113594
400,C-EEU-HRV,urb,sfh,perm,2035,36.00934476282337
401,C-EEU-HRV,urb,sfh,perm,2045,39.86776457363017
402,C-EEU-HRV,urb,sfh,perm,2050,41.608756755570866
403,C-EEU-HRV,urb,sfh,perm,2055,43.212739572368044
404,C-EEU-HRV,urb,sfh,perm,2020,29.539839348223275
405,C-EEU-HRV,urb,sfh,perm,2060,44.67687535020026
406,C-EEU-HRV,urb,sfh,perm,2070,47.19310773499789
407,C-EEU-HRV,urb,sfh,perm,2080,49.20041900992034
408,C-EEU-HRV,urb,sfh,perm,2085,50.03451241464389
409,C-EEU-HRV,urb,sfh,perm,2090,50.768495766564676
410,C-EEU-HRV,urb,sfh,perm,2095,51.41225756863165
411,C-EEU-HRV,urb,sfh,perm,2100,51.97542670945934
412,C-EEU-HRV,urb,sfh,perm,2065,46.00219254441761
413,C-EEU-HRV,urb,sfh,perm,2015,27.301298675786427
414,C-EEU-HRV,urb,sfh,perm,2040,37.99717227970046
415,C-EEU-HRV,urb,mfh,perm,2095,32.12255871467155
416,C-EEU-HRV,urb,mfh,perm,2020,18.456431749865292
417,C-EEU-HRV,urb,mfh,perm,2025,19.841393211356642
418,C-EEU-HRV,urb,mfh,perm,2030,21.19426031085121
419,C-EEU-HRV,urb,mfh,perm,2100,32.47442271827389
420,C-EEU-HRV,urb,mfh,perm,2040,23.74063709232391
421,C-EEU-HRV,urb,mfh,perm,2045,24.909409143048702
422,C-EEU-HRV,urb,mfh,perm,2050,25.997207995058467
