region_bld,region_nuts,urt,clim,year,value
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2045,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2050,0.004449
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2050,0.025851
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2050,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2055,0.004299812499999999
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2055,0.025341745535714284
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2055,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2060,0.0041143333333333336
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2060,0.024709904761904763
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2060,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2065,0.003896204166666666
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2065,0.023971235416666663
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2065,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2070,0.003649066666666667
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2070,0.02314149523809524
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2070,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2075,0.0033765624999999994
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2075,0.02223644196428571
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2075,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2080,0.003082333333333334
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2080,0.021271833333333337
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2080,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2085,0.0027700208333333335
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2085,0.020263427083333337
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2085,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2090,0.0024432666666666675
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2090,0.01922698095238096
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2090,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2095,0.0021057125
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2095,0.01817825267857143
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2095,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2100,0.001761
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2100,0.017133
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2100,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2010,0.018029
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2010,0.023125
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2010,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2015,0.019073337500000002
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2015,0.0232556625
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2015,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2020,0.01988574285714286
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2020,0.02335897142857143
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2020,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2025,0.020490026785714287
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2025,0.023437544642857147
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2025,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2030,0.02091
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2030,0.023494
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2030,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2035,0.021169473214285712
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2035,0.023530955357142856
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2035,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2040,0.021292257142857138
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2040,0.023551028571428576
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2040,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2045,0.0213021625
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2045,0.0235568375
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2045,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2050,0.021223
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2050,0.023551
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2050,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2055,0.021078580357142853
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2055,0.02353613392857143
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2055,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2060,0.020892714285714282
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2060,0.023514857142857146
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2060,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2065,0.020689212499999995
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2065,0.023489787499999998
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2065,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2070,0.020491885714285712
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2070,0.02346354285714286
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2070,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2075,0.02032454464285714
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2075,0.023438741071428574
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2075,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2080,0.020211
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2080,0.023418
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2080,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2085,0.0201750625
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2085,0.023403937500000003
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2085,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2090,0.02024054285714286
C-WEU-NLD,C-WEU-NLD-NL112,sub,Zone_5A Cool Humid,2090,0.02339917142857143
C-WEU-NLD,C-WEU-NLD-NL112,urb,Zone_5A Cool Humid,2090,0.0
C-WEU-NLD,C-WEU-NLD-NL112,rur,Zone_5A Cool Humid,2095,0.02043125178571429
