,year,region_bld,clim,arch,urt,value
286,2020,C-EEU-HUN,Zone_4A Mixed Humid,sfh,rur,0.131
287,2020,C-EEU-HUN,Zone_4A Mixed Humid,sfh,urb,0.082
288,2020,C-EEU-HUN,Zone_5A Cool Humid,mfh,rur,0.15
289,2020,C-EEU-HUN,Zone_5A Cool Humid,mfh,urb,0.122
290,2020,C-EEU-HUN,Zone_5A Cool Humid,sfh,rur,0.097
291,2020,C-EEU-HUN,Zone_5A Cool Humid,sfh,urb,0.101
292,2020,C-EEU-LTU,Zone_5A Cool Humid,mfh,rur,0.187
293,2020,C-EEU-LTU,Zone_5A Cool Humid,mfh,urb,0.166
294,2020,C-EEU-LTU,Zone_5A Cool Humid,sfh,rur,0.131
295,2020,C-EEU-LTU,Zone_5A Cool Humid,sfh,urb,0.098
296,2020,C-EEU-LTU,Zone_6A Cold Humid,mfh,rur,0.143
297,2020,C-EEU-LTU,Zone_6A Cold Humid,mfh,urb,0.143
298,2020,C-EEU-LTU,Zone_6A Cold Humid,sfh,rur,0.12
299,2020,C-EEU-LTU,Zone_6A Cold Humid,sfh,urb,0.186
300,2020,C-EEU-LVA,Zone_6A Cold Humid,mfh,rur,0.232
301,2020,C-EEU-LVA,Zone_6A Cold Humid,mfh,urb,0.193
302,2020,C-EEU-LVA,Zone_6A Cold Humid,sfh,rur,0.307
303,2020,C-EEU-LVA,Zone_6A Cold Humid,sfh,urb,0.345
304,2020,C-EEU-POL,Zone_5A Cool Humid,mfh,rur,0.19
305,2020,C-EEU-POL,Zone_5A Cool Humid,mfh,urb,0.207
306,2020,C-EEU-POL,Zone_5A Cool Humid,sfh,rur,0.15
307,2020,C-EEU-POL,Zone_5A Cool Humid,sfh,urb,0.132
308,2020,C-EEU-POL,Zone_6A Cold Humid,mfh,rur,0.378
309,2020,C-EEU-POL,Zone_6A Cold Humid,mfh,urb,0.264
310,2020,C-EEU-POL,Zone_6A Cold Humid,sfh,rur,0.175
311,2020,C-EEU-POL,Zone_6A Cold Humid,sfh,urb,0.164
312,2020,C-EEU-ROU,Zone_4A Mixed Humid,mfh,rur,0.295
313,2020,C-EEU-ROU,Zone_4A Mixed Humid,mfh,urb,0.233
314,2020,C-EEU-ROU,Zone_4A Mixed Humid,sfh,rur,0.277
315,2020,C-EEU-ROU,Zone_4A Mixed Humid,sfh,urb,0.256
316,2020,C-EEU-ROU,Zone_5A Cool Humid,mfh,rur,0.257
317,2020,C-EEU-ROU,Zone_5A Cool Humid,mfh,urb,0.232
318,2020,C-EEU-ROU,Zone_5A Cool Humid,sfh,rur,0.269
319,2020,C-EEU-ROU,Zone_5A Cool Humid,sfh,urb,0.264
320,2020,C-EEU-ROU,Zone_6A Cold Humid,mfh,rur,0.246
321,2020,C-EEU-ROU,Zone_6A Cold Humid,sfh,rur,0.234
322,2020,C-EEU-SVK,Zone_5A Cool Humid,mfh,rur,0.191
323,2020,C-EEU-SVK,Zone_5A Cool Humid,mfh,urb,0.206
324,2020,C-EEU-SVK,Zone_5A Cool Humid,sfh,rur,0.228
